Journal title,Journal ISSN (print version),Journal EISSN (online version),APC amount,APC currency
Наукові записки НаУКМА: Економічні науки,2519-4739,2519-4747,1000,UAH
ScienceRise: Medical Science,2519-478X,2519-4798,50,EUR
ScienceRise: Pharmaceutical Science,2519-4844,2519-4852,50,EUR
ScienceRise: Pedagogical Education,2519-4976,2519-4984,50,EUR
Journal of Medicinal Plants for Economic Development,2519-559X,2616-4809,10496,ZAR
ScienceRise: Biological Science,2519-8017,2519-8025,50,EUR
European Journal of Management Issues,2519-8564,2523-451X,50,EUR
General Letters in Mathematics ,2519-9269,2519-9277,100,USD
Global Journal of Economics and Business,2519-9285,2519-9293,100,USD
BMC Rheumatology,,2520-1026,1060,GBP
IZA Journal of Development and Migration,,2520-1786,975,GBP
"Здоров’я, спорт, реабілітація",2520-2677,2520-2685,90,USD
Mirror of Research in Veterinary Sciences and Animals ,2520-324X,,125,USD
"Naukovij Vìsnik Nacìonalʹnoï Akademìï Statistiki, Oblìku ta Auditu",2520-6834,2521-1323,200,UAH
Sustainable Earth,,2520-8748,860,GBP
CVIR Endovascular,,2520-8934,1190,GBP
Energy Informatics,,2520-8942,790,GBP
Quantum,,2521-327X,200,EUR
JCSM Clinical Reports,,2521-3555,1875,USD
UHD Journal of Science and Technology,2521-4209,2521-4217,100000,IQD
Modern Economics,,2521-6392,300,UAH
Iraqi Journal of Public Health,,2521-7267,250,USD
Albanian Journal of Trauma and Emergency Surgery,2521-8778,2616-4922,100,EUR
مجلة النهرين للعلوم الهندسية,2521-9154,2521-9162,75000,IQD
Менеджмент та підприємництво: тренди розвитку,,2522-1566,400,UAH
"Міжнародні відносини, суспільні комунікації та регіональні студії",2522-1663,2524-2679,1540,UAH
Komunalʹne Gospodarstvo Mìst,2522-1809,2522-1817,350,UAH
Vìsnik Unìversitetu ìmenì Alʹfreda Nobelâ: Serìâ Pedagogìka ì Psihologiâ,2522-4115,2522-9133,200,UAH
Functional Composite Materials,,2522-5774,860,EUR
The Southern African Journal of Entrepreneurship and Small Business Management,2522-7343,2071-3185,1161,ZAR
Сучасні інформаційні системи,2522-9052,,500,UAH
Освітній дискурс,2522-9699,2616-5007,500,UAH
Eurasia: Economics & Business,,2522-9710,120,USD
Cell Stress,,2523-0204,1190,EUR
Iraq Medical Journal,2523-1634,2521-8492,125,USD
Cancer Communications,,2523-3548,2500,USD
SN Applied Sciences,2523-3963,2523-3971,1480,EUR
ScienceRise: Juridical Science,2523-4145,2523-4153,50,EUR
"Mìkrosistemi, Elektronìka ta Akustika",2523-4447,2523-4455,400,UAH
Vìsnik Unìversitetu ìm. A. Nobelâ: Serìâ Fìlologìčnì Nauki,2523-4463,2523-4749,200,UAH
Measurement Instruments for the Social Sciences,,2523-8930,860,GBP
Економічні інноваціїї,2524-003X,2616-5430,1000,UAH
Київські історичні студії,2524-0749,2524-0757,700,UAH
Soils and Foundations,,2524-1788,1000,USD
BMC Biomedical Engineering,,2524-4426,860,GBP
One Health Outlook,,2524-4655,1060,GBP
Animal Microbiome,,2524-4671,1060,GBP
Environmental Microbiome,,2524-6372,1390,GBP
Urban Transformations,,2524-8162,690,GBP
The Ultrasound Journal,,2524-8987,1570,GBP
Agri-Environmental Sciences,,2525-4804,20,BRL
Cadernos Brasileiros de Terapia Ocupacional,,2526-8910,350,BRL
The Journal of Engineering and Exact Sciences,,2527-1075,100,BRL
AcTion: Aceh Nutrition Journal,2527-3310,2548-5741,800000,IDR
Fikri,2527-4430,2548-7620,100,USD
Kalamatika,2527-5615,2527-5607,40,USD
JTK (Jurnal Tadris Kimiya),2527-6816,2527-9637,750000,IDR
Journal An-Nafs: Kajian Penelitian Psikologi,2528-0600,2549-6166,700000,IDR
Jurnal Ilmiah Pendidikan Pancasila dan Kewarganegaraan,2528-0767,2527-8495,1500000,IDR
Jurnal Theorems (The Original Research of Mathematics),2528-102X,2541-4321,300000,IDR
JOIN: Jurnal Online Informatika,2528-1682,2527-9165,1500000,IDR
Indonesian Contemporary Nursing Journal,2528-2557,2686-116X,500000,IDR
Jurnal Aplikasi Bisnis dan Manajemen,2528-5149,2460-7819,800000,IDR
Keberlanjutan,2528-5599,2614-3291,500000,IDR
Volt: Jurnal Ilmiah Pendidikan Teknik Elektro,2528-5688,2528-5696,40,USD
Jurnal AKSI (Akuntansi dan Sistem Informasi),2528-6145,2541-3198,350000,IDR
JABE (Journal of Accounting and Business Education),2528-7281,2528-729X,50,USD
Molecular Frontiers Journal,2529-7325,2529-7333,1500,USD
IBJ Clinical Pharmacology,,2530-4984,200,EUR
Italian Botanist,,2531-4033,250,EUR
Journal of Philosophical Criticism,,2533-0675,950,EUR
Rethinking Ecology,,2534-9260,550,EUR
International Journal of Medical Reviews and Case Reports,,2534-9821,70,USD
Evolutionary Systematics,,2535-0730,150,EUR
Science & Research,,2535-0765,30,EUR
Alpine Entomology ,,2535-0889,1000,CHF
Journal for Research in Arts and Sports Education,,2535-2857,12000,NOK
Barn,,2535-5449,2000,NOK
Nordisk Tidsskrift for Utdanning og Praksis,,2535-7697,6000,NOK
Alexandria Journal of Veterinary Sciences,,2536-9520,100,USD
Journal of General Union of Arab Archaeologists,2536-9822,2536-9830,200,USD
"Law, Society & Organisations",,2537-477X,100,EUR
Ikufīziyuluzhī-i Giyāhān-i Zirā̒ī,2538-1822,2476-731X,3500000,IRR
پژوهش در ورزش‌ تربیتی,2538-2721,2538-3388,2000000,IRR
رفتار حرکتی,2538-273X,2538-5593,2000000,IRR
مطالعات اجتماعی روان‌شناختی زنان,2538-2926,2538-2934,2000000,IRR
مطالعات روانشناختی,2538-2942,2538-2950,1500000,IRR
Pizhūhish/hā-yi Irtibāṭī,2538-2977,2538-2985,3000000,IRR
مطالعات مدیریت ورزشی,2538-3213,2538-3221,2000000,IRR
Environmental Energy and Economic Research,2538-4988,2676-4997,5000000,IRR
Teaching English Language,2538-5488,2538-547X,6000000,IRR
مبانی نظری هنرهای تجسمی,2538-5666,2676-6701,7000000,IRR
مهندسی اکوسیستم بیابان,2538-6336,2588-6207,2500000,IRR
IJFAC (Indonesian Journal of Fundamental and Applied Chemistry),2540-9395,2540-9409,50,USD
Journal of Tropical Biodiversity and Biotechnology,2540-9573,2540-9581,1500000,IDR
Jurnal Pendidikan Keperawatan Indonesia,2541-0024,2477-3743,400000,IDR
Sinkron,2541-044X,2541-2019,500000,IDR
Harmonia: Journal of Arts Research and Education,2541-1683,2541-2426,135,USD
Dunamis: Jurnal Teologi dan Pendidikan Kristiani,2541-3937,2541-3945,200000,IDR
Briliant,2541-4216,2541-4224,500000,IDR
"MUST: Journal of Mathematics Education, Science and Technology",2541-6057,2541-4674,400000,IDR
"JEMMME (Journal of Energy, Mechanical, Material, and Manufacturing Engineering)",2541-6332,2548-4281,750000,IDR
Yupa: Historical Studies Journal,2541-6960,2549-8754,400000,IDR
Acta Biomedica Scientifica,2541-9420,2587-9596,2300,RUB
"Омский научный вестник: Серия ""Общество. История. Современность""",2542-0488,2541-7983,3000,RUB
"Mayo Clinic Proceedings: Innovations, Quality & Outcomes",,2542-4548,3000,USD
The Lancet Planetary Health,,2542-5196,5000,USD
Advances in Biomarker Sciences and Technology,,2543-1064,990,USD
Accounting and Financial Control,2543-5485,2544-1450,195,EUR
Geopolitics under Globalization,2543-5493,2543-9820,125,EUR
Knowledge & Performance Management,2543-5507,2616-3829,125,EUR
Open Astronomy,,2543-6376,1000,EUR
Open Philosophy,,2543-8875,500,EUR
Open Psychology,,2543-8883,500,EUR
Annales Horticulturae,2544-4484,2544-8013,250,PLN
International Journal of Innovative Technologies in Social Science,2544-9338,2544-9435,100,USD
"Arid Zone Journal of Engineering, Technology and Environment",,2545-5818,35000,NGN
Jurnal Biodjati,2548-1606,2541-4208,1000000,IDR
Symmetry: Pasundan Journal of Research in Mathematics Learning and Education,,2548-2297,2500000,IDR
Sasdaya: Gadjah Mada Journal of Humanities,2548-3218,2549-3884,750000,IDR
SCHOULID: Indonesian Journal of School Counseling,2548-3234,2548-3226,400000,IDR
COUNS-EDU: The International Journal of Counseling and Education,2548-348X,2548-3498,850000,IDR
Jurnal Sportif,2548-7833,2477-3379,1500000,IDR
Journal of ICSAR,2548-8619,2548-8600,500000,IDR
Jurnal Fisioterapi dan Rehabilitasi,2548-8716,2599-2791,250000,IDR
JPAS (Journal of Public Administration Studies),2548-902X,2541-6979,650000,IDR
Momentum: Physics Education Journal,2548-9127,2548-9135,150000,IDR
Jurnal Ilmiah Akuntansi dan Keuangan,2548-9453,2580-510X,300000,IDR
Jurnal Bidang Pendidikan Dasar,2549-0117,2549-0125,100000,IDR
Journal of Maternal and Child Health,,2549-0257,70,USD
Indonesian Journal of Medicine,,2549-0265,150,USD
Journal of Epidemiology and Public Health,,2549-0273,70,USD
Journal of Health Policy and Management,,2549-0281,70,USD
IJIE (Indonesian Journal of Informatics Education),,2549-0389,50,USD
Hayula: Indonesian Journal of Multidisciplinary Islamic Studies,2549-0761,2548-9860,25,USD
Journal of Health Promotion and Behavior,,2549-1172,70,USD
Medical Technology and Public Health Journal  ,2549-189X,2549-2993,350000,IDR
Specta,2549-2713,2622-9099,200000,IDR
"International Conference on Economics, Education, Business, and Accounting",2549-3191,2549-3205,125,USD
JHeS (Journal of Health Studies),2549-3345,2549-3353,150000,IDR
Forest and Society,2549-4724,2549-4333,300,USD
Integrated Journal of Business and Economics,2549-5933,2549-3280,50,USD
Jurnal Akuntansi: Kajian Ilmiah Akuntansi,2549-5968,2339-2436,550000,IDR
Jurnal Studi Komunikasi,2549-7294,2549-7626,150,SGD
Eralingua: Jurnal Pendidikan Bahasa Asing dan Sastra,2549-7359,2579-4574,750000,IDR
Teknika,2549-8037,2549-8045,350000,IDR
Journal of Medives: Journal of Mathematics Education IKIP Veteran Semarang,2549-8231,2549-5070,450000,IDR
JNPM (Jurnal Nasional Pendidikan Matematika),2549-8495,2549-4937,499000,IDR
International Journal of Pedagogy and Teacher Education,,2549-8525,50,USD
Food Research,,2550-2166,100,USD
Emergent Scientist,,2556-8779,300,EUR
4 open,,2557-0250,900,EUR
Proceedings of the International Conference on Business Excellence,,2558-9652,200,EUR
Canadian Journal of Biotechnology,,2560-8304,250,USD
JMIR Cardio,,2561-1011,1500,USD
JMIR Formative Research,,2561-326X,1900,USD
JMIR Biomedical Engineering,,2561-3278,1500,USD
JMIR Pediatrics and Parenting,,2561-6722,1500,USD
JMIR Aging,,2561-7605,1500,USD
International Journal of Men's Social and Community Health,,2561-9179,399,USD
Canadian Prosthetics & Orthotics Journal,,2561-987X,1800,CAD
InfoMat,,2567-3165,3500,USD
EcoMat,,2567-3173,3500,USD
Journal of Laboratory Medicine,2567-9430,2567-9449,750,EUR
Journal of Transition Medicine,,2568-2407,500,EUR
High-Throughput,,2571-5135,1000,CHF
Quaternary,,2571-550X,1400,CHF
Applied System Innovation,,2571-5577,1000,CHF
Frontiers in Sustainable Food Systems,,2571-581X,950,USD
Ceramics,,2571-6131,1200,CHF
Plasma,,2571-6182,1200,CHF
Fire,,2571-6255,1400,CHF
Vibration,,2571-631X,1200,CHF
Particles,,2571-712X,1200,CHF
Reports,,2571-841X,1200,CHF
Soil Systems,,2571-8789,1400,CHF
Clean Technologies,,2571-8797,1200,CHF
J,,2571-8800,1200,CHF
Stats,,2571-905X,1200,CHF
Forecasting,,2571-9394,1000,CHF
Heritage,,2571-9408,1200,CHF
Surfaces,,2571-9637,1200,CHF
JOR Spine,,2572-1143,2250,USD
"Plants, People, Planet",,2572-2611,2500,USD
Gates Open Research,,2572-4754,1150,USD
"Journal of International Maritime Safety, Environmental Affairs, and Shipping",,2572-5084,1000,USD
HemaSphere,,2572-9241,1200,USD
Tapuya,,2572-9861,300,USD
Translational Animal Science,,2573-2102,2022,GBP
Systems Medicine,,2573-3370,2000,USD
ImmunoHorizons,,2573-7732,1595,USD
Cancer Reports,,2573-8348,2100,EUR
FASEB BioAdvances,,2573-9832,2200,EUR
Neuropsychopharmacology Reports,,2574-173X,2100,EUR
OTA International,,2574-2167,1900,USD
JAMIA Open,,2574-2531,1925,GBP
Cogent Mathematics & Statistics,,2574-2558,1000,USD
JAMA Network Open,,2574-3805,3000,USD
Journal of Cutaneous Immunology and Allergy,,2574-4593,2200,EUR
Life Science Alliance,,2575-1077,3000,USD
Urban Agriculture & Regional Food Systems,,2575-1220,950,USD
Psychiatric Research and Clinical Practice,,2575-5609,2500,USD
Plant-Environment Interactions,,2575-6265,2100,USD
People and Nature,,2575-8314,2000,USD
Meat and Muscle Biology,,2575-985X,1000,USD
Arab Journal of Basic and Applied Sciences,,2576-5299,770,GBP
IJU Case Reports,,2577-171X,1881,EUR
Engineering Reports,,2577-8196,1650,USD
Journal of Research in Technical Careers,,2578-2118,150,USD
Plant Phenome Journal,,2578-2703,1750,USD
International Journal of Ceramic Engineering & Science,,2578-3270,2300,EUR
Conservation Science and Practice,,2578-4854,1850,USD
ACR Open Rheumatology,,2578-5745,2300,EUR
OSA Continuum,,2578-7519,1350,USD
Heat Treatment and Surface Engineering,,2578-7616,600,USD
Journal of Applied Geospatial Information,,2579-3608,20,USD
Query: Jurnal Sistem Informasi,,2579-5341,15,USD
J-MKLI (Jurnal Manajemen dan Kearifan Lokal Indonesia),2579-5791,2550-0856,500000,IDR
IJIIS: International Journal of Informatics and Information Systems,,2579-7069,150,USD
Prima: Jurnal Pendidikan Matematika,2579-9827,2580-2216,250000,IDR
Civic-culture,2579-9878,2579-9924,250000,IDR
Keguru: Jurnal Ilmu Pendidikan Dasar,2579-9886,2579-9916,250000,IDR
CNJ: Caring Nursing Journal,,2580-0078,250000,IDR
Jurnal RESTI (Rekayasa Sistem dan Teknologi Informasi),,2580-0760,1000000,IDR
Amerta Nutrition,2580-1163,2580-9776,350000,IDR
Teraputik: Jurnal Bimbingan dan Konseling,2580-2046,2580-2054,250000,IDR
JMSP (Jurnal Manajemen dan Supervisi Pendidikan),2580-3417,2541-4429,200000,IDR
Jurnal Basicedu,2580-3735,2580-1147,300000,IDR
Intensif: Jurnal Ilmiah Penelitian Teknologi dan Penerapan Sistem Informasi,2580-409X,2549-6824,350000,IDR
Journal of Moral and Civic Education,2580-412X,2549-8851,500000,IDR
Science and Technology Indonesia,2580-4405,2580-4391,50,USD
Jurnal Psikoedukasi dan Konseling,,2580-4545,250000,IDR
Health Notions,,2580-4936,200,USD
Jurnal Kependidikan: Penelitian Inovasi Pembelajaran,2580-5525,2580-5533,1050000,IDR
World Nutrition Journal,,2580-7013,1000000,IDR
Jurnal PAJAR (Pendidikan dan Pengajaran),2580-8435,2614-1337,700000,IDR
"Language Literacy: Journal of Linguistics, Literature, and Language Teaching",2580-8672,2580-9962,50,USD
Aksis: Jurnal Pendidikan Bahasa dan Sastra Indonesia,,2580-9040,250000,IDR
GHMJ (Global Health Management Journal),,2580-9296,60,USD
IJEBP (International Journal of Educational Best Practices),,2581-0847,75,USD
JENIUS (Jurnal Ilmiah Manajemen Sumber Daya Manusia),2581-2769,2598-9502,1000000,IDR
Journal of Research and Practice on the Musculoskeletal System,,2585-2787,100,EUR
Dialogues in Clinical Neuroscience & Mental Health,,2585-2795,200,EUR
Technology Transfer: Innovative Solutions in Medicine,2585-6626,2585-6634,50,EUR
Technology Transfer: Fundamental Principles and Innovative Technical Solutions,2585-6839,2585-6847,75,EUR
The Asian Journal of Kinesiology,2586-5595,2586-5552,250,USD
"Scientific Journal of Cahul ""Bogdan Petriceicu Hasdeu"" State University: Economic & Engineering Studies ",2587-313X,2587-3121,50,EUR
Вестник Евразийской науки,,2588-0101,5900,RUB
"Омский научный вестник: Серия ""Авиационно-ракетное и энергетическое машиностроение""",2588-0373,2587-764X,3000,RUB
Research in English Language Pedagogy,2588-3259,2538-4244,15,USD
Journal of Language Horizons,2588-350X,2588-5634,3000000,IRR
علوم و مهندسی آب و فاضلاب,,2588-395X,25000000,IRR
Journal of Horticulture and Postharvest Research,2588-4883,2588-6169,1000000,IRR
علوم و مهندسی آبیاری,2588-5952,2588-5960,1000000,IRR
رویکردهای نوین در مهندسی عمران,2588-6886,2588-7122,100,USD
Water-Energy Nexus,,2588-9125,700,USD
Carbon Resources Conversion,,2588-9133,700,USD
Clinical eHealth,,2588-9141,980,USD
Translational Metabolic Syndrome Research,,2588-9303,980,USD
Journal of Biosafety and Biosecurity,,2588-9338,980,USD
iScience,,2589-0042,3000,USD
Solid State Electronics Letters,,2589-2088,700,USD
Materials Science for Energy Technologies,,2589-2991,800,USD
Chinese Herbal Medicines,,2589-3610,1200,USD
Journal of Hand Surgery Global Online,,2589-5141,2000,USD
EClinicalMedicine,,2589-5370,3500,USD
JHEP Reports,,2589-5559,2000,EUR
Rhinology Online,,2589-5613,700,EUR
Artificial Intelligence in Agriculture,,2589-7217,700,USD
The Lancet: Digital Health,,2589-7500,5000,USD
HydroResearch,,2589-7578,700,USD
CJC Open,,2589-790X,2100,USD
Global Transitions,,2589-7918,955,USD
Earth System Governance,,2589-8116,1600,USD
Surgery Open Science,,2589-8450,2000,USD
Forensic Science International: Synergy,,2589-871X,1700,USD
Journal of Translational Autoimmunity,,2589-9090,2250,USD
Water Research X,,2589-9147,3750,USD
Journal of Hydrology X,,2589-9155,3200,USD
Metabolism Open,,2589-9368,2000,USD
Epilepsy & Behavior Reports,,2589-9864,2200,USD
Array,,2590-0056,1350,USD
Materials Today Bio,,2590-0064,3000,USD
Micro and Nano Engineering,,2590-0072,2200,USD
Matrix Biology Plus,,2590-0285,2200,USD
Results in Applied Mathematics,,2590-0374,500,USD
The Journal of Pediatrics: X,,2590-0420,3750,USD
Results in Materials,,2590-048X,1000,USD
Materials Today Advances,,2590-0498,3000,USD
Research in Globalization,,2590-051X,1500,USD
Biosafety and Health,,2590-0536,2500,USD
"Chaos, Solitons & Fractals: X",,2590-0544,1500,USD
Journal of Computational Physics: X,,2590-0552,2800,USD
Journal of Asian Earth Sciences: X,,2590-0560,2600,USD
Kidney Medicine,,2590-0595,2400,USD
Progress in Disaster Science,,2590-0617,1100,USD
International Journal of Cardiology. Hypertension,,2590-0862,2800,USD
Infection Prevention in Practice,,2590-0889,1548,USD
Urology Video Journal,,2590-0897,750,USD
Medicine in Novel Technology and Devices,,2590-0935,2000,USD
Medicine in Microecology,,2590-0978,2000,USD
Medicine in Drug Discovery,,2590-0986,2000,USD
Archives of Rehabilitation Research and Clinical Translation,,2590-1095,2000,USD
Clinical Parkinsonism & Related Disorders,,2590-1125,2400,USD
Global Epidemiology,,2590-1133,1750,USD
Results in Engineering,,2590-1230,850,USD
Analytica Chimica Acta: X,,2590-1346,1850,USD
Vaccine: X,,2590-1362,2450,USD
Biosensors and Bioelectronics: X,,2590-1370,1500,USD
World Neurosurgery: X,,2590-1397,2600,USD
Chemical Engineering Science: X,,2590-1400,1500,USD
Sleep Medicine: X,,2590-1427,2500,USD
Respiratory Medicine: X,,2590-1435,3500,USD
Optical Materials: X,,2590-1478,1500,USD
Computers & Graphics: X,,2590-1486,2400,USD
Materials Letters: X,,2590-1508,3100,USD
Contraception: X,,2590-1516,2100,USD
Journal of Structural Biology: X,,2590-1524,2750,USD
Cytokine: X,,2590-1532,2000,USD
International Journal of Pharmaceutics: X,,2590-1567,1950,USD
Food Chemistry: X,,2590-1575,1950,USD
Journal of Non-Crystalline Solids: X,,2590-1591,2200,USD
European Journal of Obstetrics & Gynecology and Reproductive Biology: X,,2590-1613,2100,USD
Atmospheric Environment: X,,2590-1621,1400,USD
Clinical Infection in Practice,,2590-1702,2000,USD
Toxicon: X,,2590-1710,3300,USD
Energy Conversion and Management: X,,2590-1745,1800,USD
Smart Materials in Medicine,,2590-1834,840,USD
Applied Computing and Geosciences,,2590-1974,1500,USD
Transportation Research Interdisciplinary Perspectives,,2590-1982,1100,USD
Biofilm,,2590-2075,2200,USD
Health Policy Open,,2590-2296,2000,USD
City and Environment Interactions,,2590-2520,1400,USD
Current Research in Immunology,,2590-2555,2500,USD
Current Research in Pharmacology and Drug Discovery,,2590-2571,2500,USD
Methods in Psychology,,2590-2601,1800,USD
Current Research in Biotechnology,,2590-2628,2500,USD
"Resources, Conservation & Recycling: X",,2590-289X,3500,USD
Social Sciences and Humanities Open,,2590-2911,700,USD
International Journal of Health and Clinical Research,,2590-3241,100,EUR
Plant Communications,,2590-3462,1800,USD
Brazilian Journal of Natural Sciences,,2595-0584,400,BRL
REVES - Revista Relações Sociais,,2595-4490,50,BRL
Healthy-Mu Journal,,2597-3851,250000,IDR
"Linguistic, English Education and Art (LEEA) Journal",2597-9248,2597-3819,450000,IDR
Bioscientia Medicina: Journal of Biomedicine and Translational Research,,2598-0580,60,USD
Journal of Childhood Education,2598-2184,2620-3278,35,USD
Kredo: Jurnal Ilmiah Bahasa dan Sastra,2598-3202,2599-316X,500000,IDR
IJEMS (Indonesian Journal of Environmental Management and Sustainability),2598-6260,2598-6279,50,USD
Geosfera Indonesia,2598-9723,2614-8528,500000,IDR
JAUR (Journal of Architecture and Urbanism Research),2599-0179,2599-0160,300000,IDR
"Al-Mada: Jurnal Agama, Sosial, dan Budaya",,2599-2473,250000,IDR
"Life Sciences, Medicine and Biomedicine",,2600-7207,250,USD
Medicina Clínica Práctica,,2603-9249,1500,EUR
Emerging Science Journal,,2610-9182,40,USD
Phenomena Journal,,2612-6796,50,EUR
Open Journal of Humanities,,2612-6966,250,EUR
Desimal,2613-9073,2613-9081,350000,IDR
Caraka Tani: Journal of Sustainable Agriculture,2613-9456,2599-2570,1000000,IDR
JIPI (Jurnal IPA dan Pembelajaran IPA),2614-0500,,500000,IDR
Islamic Guidance and Counseling Journal,,2614-1566,300,USD
Jurnal Fundadikdas (Fundamental Pendidikan Dasar),,2614-1620,200000,IDR
Journal of Nursing Practice,2614-3488,2614-3496,30,USD
IndoMath ,2614-5103,2614-5111,500000,IDR
Window of Health ,,2614-5375,700000,IDR
JPFT (Jurnal Pendidikan Fisika dan Teknologi),2614-5618,2407-6902,400000,IDR
Research and Innovation in Language Learning,2614-5960,2615-4137,25,USD
Jurnal Belantara,2614-7238,2614-3453,200000,IDR
Dinamisia,2614-7424,2614-8927,300000,IDR
Indonesian Journal of Learning and Instruction,2614-8250,2614-5677,150,USD
Media Keperawatan Indonesia,,2615-1669,500000,IDR
Volksgeist,2615-174X,2615-5648,650000,IDR
Ghidza,2615-2851,2622-7622,350000,IDR
Jurnal Dikdas Bantara,2615-4285,2615-5508,250000,IDR
Jurnal Enggano,2615-5958,2527-5186,300000,IDR
Automotive Experiences,2615-6202,2615-6636,1000000,IDR
Jurnal Penelitian dan Pengkajian Ilmu Pendidikan: e-Saintika,,2615-6881,500000,IDR
Diglosia,2615-725X,2615-8655,350000,IDR
Tropical Animal Science Journal,2615-787X,2615-790X,300,USD
JPIB: Jurnal Psikologi Islam dan Budaya,2615-8191,2615-8183,300000,IDR
Indonesian Journal of Science and Mathematics Education,,2615-8639,300000,IDR
Innovative Biosystems and Bioengineering,,2616-177X,50,USD
Insurance Markets and Companies ,2616-3551,2522-9591,125,EUR
Prizren Social Science Journal,,2616-387X,100,EUR
Journal of Advanced Biotechnology and Experimental Therapeutics,,2616-4760,4950,BDT
Публічне управління та регіональний розвиток ,2616-6216,,800,UAH
جرنل آف ریلیجیئس سٹڈیز,2616-6496,2663-0206,100,USD
"Економіка, Eкологія, Cоціум",,2616-7107,200,UAH
افکار,2616-9223,2616-8588,100,USD
JCSM Rapid Communications,,2617-1619,1875,USD
Наукові записки НаУКМА: Філософія та релігієзнавство,2617-1678,2617-5703,1000,UAH
Наукові записки НаУКМА: Юридичні науки ,2617-2607,2663-0621,1000,UAH
Наукові записки НаУКМА: Історичні науки,2617-3417,2663-0249,1000,UAH
Науковий вісник Східноєвропейського національного університету імені Лесі Українки: Серія: Біологічні науки,2617-4715,2617-4723,850,UAH
Agrology,2617-6106,2617-6114,1700,UAH
Хабаршы. Психология және социология сериясы,2617-7544,2617-7552,500,KZT
Збірник наукових праць Національної академії Державної прикордонної служби України. Серія: педагогічні науки,2617-8222,2617-8230,750,UAH
"Збірник наукових праць Державного університету інфраструктури та технологій: серія ""Транспортні системи і технології""",2617-9040,2617-9059,825,UAH
Наукові Записки Наукма: Соціологія,2617-9067,2663-063X,1000,UAH
Релігійна свобода   ,2617-9296,2663-0818,40,USD
Збірник наукових праць Національної академії Державної прикордонної служби України. Серія: військові та технічні науки,2617-9717,2617-9725,750,UAH
"Вісник Національного технічного університету України «Київський політехнічний інститут імені Ігоря Сікорського»: Серія «Хімічна інженерія, екологія та ресурсозбереження»",2617-9741,2664-1763,300,UAH
The  International Journal of Frontier Sciences,2618-0359,2618-0367,250,USD
"Епістемологічні дослідження у філософії, соціальних і політичних науках",2618-1274,2618-1282,500,UAH
SAR Journal,,2619-9963,100,EUR
International Journal of Research in Counseling and Education,2620-5750,2620-5769,1000000,IDR
Civil and Environmental Science Journal,,2620-6218,500000,IDR
Malikussaleh Journal of Mathematics Learning,2620-6315,2620-6323,85,USD
"Journal of Accounting Research, Organization and Economics",,2621-1041,1500000,IDR
Journal of Applied Agricultural Science and Technology,2621-4709,2621-2528,50,USD
Jurnal Kepemimpinan dan Manajemen Keperawatan,,2621-5047,400000,IDR
Jurnal Pengabdian Dharma Laksana,2621-7155,2621-7147,200000,IDR
Caradde,2621-7961,2621-7910,500000,IDR
International Journal of Trends in Mathematics Education Research,,2621-8488,85,USD
Journal of Accounting and Investment,2622-3899,2622-6413,100,USD
Indonesian Journal of Learning Education and Counseling,2622-8068,2622-8076,500000,IDR
Jambura Geoscience Review,2623-0682,2656-0380,500000,IDR
Research and Reviews in Parkinsonism,,2624-3733,1780,USD
Clocks & Sleep,,2624-5175,1200,CHF
Corrosion and Materials Degradation,,2624-5558,1000,CHF
Gastrointestinal Disorders,,2624-5647,1200,CHF
Acoustics,,2624-599X,1200,CHF
Signals,,2624-6120,1000,CHF
Smart Cities,,2624-6511,1200,CHF
AgriEngineering,,2624-7402,1000,CHF
Reactions,,2624-781X,1000,CHF
Frontiers in Blockchain,,2624-7852,1150,USD
GeoHazards,,2624-795X,1000,CHF
Journal of Cybersecurity and Privacy,,2624-800X,1000,CHF
Physics,,2624-8174,1200,CHF
Frontiers in Artificial Intelligence,,2624-8212,1150,USD
IoT,,2624-831X,1000,CHF
Chemistry,,2624-8549,1200,CHF
Antibody Reports,,2624-8557,100,CHF
Vehicles,,2624-8921,1200,CHF
Frontiers in Forests and Global Change,,2624-893X,1150,USD
Frontiers in Big Data,,2624-909X,1150,USD
Frontiers in Sports and Active Living,,2624-9367,1900,USD
Frontiers in Water,,2624-9375,1150,USD
Frontiers in Climate,,2624-9553,1150,USD
Quantum Reports,,2624-960X,1200,CHF
Frontiers in Sustainable Cities,,2624-9634,950,USD
Frontiers in Computer Science,,2624-9898,1150,USD
Organic Materials,,2625-1825,1250,USD
International Journal of Online and Biomedical Engineering,,2626-8493,290,EUR
Translational Biophotonics,,2627-1850,2100,USD
Developments in Health Sciences,2630-9378,2630-936X,900,EUR
Future Drug Discovery,,2631-3316,1415,USD
Emerald Open Research,,2631-3952,2500,USD
Transportation Safety and Environment,,2631-4428,900,GBP
Aesthetic Surgery Journal Open Forum,,2631-4797,2500,USD
"BMJ Surgery, Interventions, & Health Technologies",,2631-4940,2800,USD
IET Cyber-systems and Robotics,,2631-6315,2000,EUR
Wearable Technologies,,2631-7176,1648,GBP
IET Smart Cities,,2631-7680,2000,EUR
Therapeutic Advances in Gastrointestinal Endoscopy,,2631-7745,2000,USD
Crohn's & Colitis 360,,2631-827X,1925,GBP
NAR Genomics and Bioinformatics,,2631-9268,1500,GBP
Clinical Pathology,,2632-010X,1848,USD
Journal of Physics: Complexity,,2632-072X,1600,GBP
UCL Open Environment,,2632-0886,750,GBP
BMJ Health & Care Informatics,,2632-1009,1500,GBP
